Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
0.00000,9.01,580,0.83
0.08192,9.01,580,0.82
0.16384,9.01,580,0.82
0.24576,8.99,580,0.82
0.32768,8.98,580,0.82
0.40960,8.99,580,0.82
0.49152,8.98,580,0.82
0.57344,8.98,580,0.82
0.65536,8.97,580,0.82
0.73728,9.01,580,0.82
0.81920,8.99,580,0.82
0.90112,9.00,580,0.82
0.98304,9.00,580,0.82
1.06496,8.98,580,0.82
1.14688,8.99,580,0.82
1.22880,8.98,580,0.82
1.31072,8.98,580,0.82
1.39264,8.99,580,0.82
1.47456,9.00,580,0.82
1.55648,9.04,580,0.82
1.63840,9.03,580,0.82
1.72032,9.04,580,0.82
1.80224,9.02,580,0.82
1.88416,8.99,580,0.83
1.96608,8.98,580,0.83
2.04800,8.96,580,0.83
2.12992,8.96,580,0.83
2.21184,8.96,580,0.83
2.29376,8.96,580,0.83
2.37568,8.98,580,0.83
2.45760,8.97,580,0.82
2.53952,8.99,580,0.82
2.62144,8.99,580,0.82
2.70336,8.99,580,0.82
2.78528,8.99,580,0.82
2.86720,8.98,580,0.82
2.94912,9.00,580,0.82
3.03104,9.00,580,0.82
3.11296,9.00,580,0.82
3.19488,9.00,580,0.82
3.27680,9.00,580,0.82
3.35872,9.02,580,0.82
3.44064,9.01,580,0.82
3.52256,9.01,580,0.82
3.60448,9.01,580,0.82
3.68640,9.00,580,0.82
3.76832,9.01,580,0.82
3.85024,9.01,580,0.82
3.93216,9.02,580,0.82
4.01408,9.01,580,0.82
4.09600,9.00,580,0.82
4.17792,9.02,580,0.83
4.25984,9.01,580,0.83
4.34176,9.02,580,0.83
4.42368,9.02,580,0.83
4.50560,9.02,580,0.82
4.58752,9.02,580,0.82
4.66944,9.01,580,0.82
4.75136,8.99,580,0.82
4.83328,8.97,580,0.82
4.91520,8.95,580,0.81
4.99712,8.94,580,0.82
5.07904,8.93,580,0.82
5.16096,8.93,580,0.82
5.24288,8.93,580,0.82
5.32480,8.94,580,0.82
5.40672,8.95,580,0.82
5.48864,8.97,580,0.82
5.57056,8.99,580,0.82
5.65248,9.00,580,0.82
5.73440,9.01,580,0.82
5.81632,9.02,580,0.82
5.89824,9.00,580,0.82
5.98016,9.01,580,0.82
6.06208,8.99,580,0.82
6.14400,8.99,580,0.81
6.22592,8.96,580,0.81
6.30784,8.94,580,0.81
6.38976,8.95,580,0.81
6.47168,8.94,580,0.81
6.55360,8.95,580,0.81
6.63552,8.95,580,0.81
6.71744,8.96,580,0.82
6.79936,8.98,580,0.82
6.88128,8.98,580,0.82
6.96320,9.01,580,0.83
7.04512,9.03,580,0.83
7.12704,9.05,580,0.83
7.20896,9.09,580,0.82
7.29088,9.08,580,0.83
7.37280,9.10,580,0.83
7.45472,9.10,580,0.83
7.53664,9.09,580,0.83
7.61856,9.06,580,0.83
7.70048,9.03,580,0.82
7.78240,9.01,580,0.82
7.86432,8.98,580,0.81
7.94624,8.97,580,0.81
8.02816,8.97,580,0.81
8.11008,8.95,580,0.81
8.19200,8.96,580,0.81
8.27392,8.94,580,0.81
8.35584,8.95,580,0.81
8.43776,8.96,580,0.82
8.51968,8.96,580,0.82
8.60160,8.98,580,0.82
8.68352,8.99,580,0.82
8.76544,9.01,580,0.82
8.84736,9.00,580,0.82
8.92928,9.00,580,0.82
9.01120,8.99,580,0.82
9.09312,8.98,580,0.82
9.17504,8.99,580,0.82
9.25696,9.00,580,0.82
9.33888,9.02,580,0.82
9.42080,9.03,580,0.82
9.50272,9.03,580,0.82
9.58464,9.04,580,0.82
9.66656,9.03,580,0.81
9.74848,9.03,580,0.81
9.83040,9.03,580,0.81
9.91232,9.01,580,0.81
9.99424,9.01,580,0.81
10.07616,9.01,580,0.81
10.15808,9.01,580,0.82
10.24000,9.00,580,0.82
10.32192,9.00,580,0.82
10.40384,9.01,580,0.83
10.48576,8.99,580,0.83
10.56768,9.00,580,0.83
10.64960,9.01,580,0.83
10.73152,9.01,580,0.83
10.81344,9.03,580,0.83
10.89536,9.02,580,0.83
10.97728,9.04,580,0.83
11.05920,9.03,580,0.83
11.14112,9.02,580,0.82
11.22304,9.01,580,0.82
11.30496,8.99,580,0.82
11.38688,8.98,580,0.82
11.46880,8.97,580,0.81
11.55072,8.97,580,0.81
11.63264,8.93,580,0.81
11.71456,8.99,580,0.82
11.79648,9.02,580,0.82
11.87840,9.01,580,0.82
11.96032,9.00,580,0.82
12.04224,9.00,580,0.82
12.12416,8.98,580,0.81
12.20608,8.99,580,0.81
12.28800,8.99,580,0.81
12.36992,9.01,580,0.81
12.45184,9.02,580,0.81
12.53376,9.01,580,0.81
12.61568,9.02,580,0.81
12.69760,9.00,580,0.81
12.77952,9.00,580,0.81
12.86144,8.99,580,0.82
12.94336,8.99,580,0.82
13.02528,8.99,580,0.82
13.10720,8.99,580,0.82
13.18912,8.97,580,0.83
13.27104,9.01,580,0.83
13.35296,9.00,580,0.83
13.43488,9.01,580,0.82
13.51680,8.99,580,0.83
13.59872,9.01,580,0.83
13.68064,9.02,580,0.83
13.76256,9.03,580,0.82
13.84448,9.04,580,0.82
13.92640,9.03,580,0.82
14.00832,9.04,580,0.82
14.09024,9.02,580,0.82
14.17216,9.02,580,0.82
14.25408,9.02,580,0.82
14.33600,9.04,580,0.82
14.41792,9.06,580,0.82
14.49984,9.06,580,0.82
14.58176,9.06,580,0.82
14.66368,9.05,580,0.81
14.74560,9.05,580,0.81
14.82752,9.05,580,0.81
14.90944,9.03,580,0.81
14.99136,9.05,580,0.81
15.07328,9.04,580,0.82
15.15520,9.05,580,0.82
15.23712,9.06,580,0.81
15.31904,9.04,580,0.82
15.40096,9.05,580,0.82
15.48288,9.04,580,0.82
15.56480,9.03,580,0.82
15.64672,9.03,580,0.82
15.72864,9.02,580,0.82
15.81056,9.04,580,0.82
15.89248,8.99,580,0.81
15.97440,9.05,580,0.81
16.05632,9.06,580,0.81
16.13824,9.05,580,0.82
16.22016,9.06,580,0.82
16.30208,9.05,580,0.82
16.38400,9.06,580,0.81
16.46592,9.07,580,0.81
16.54784,9.05,580,0.81
16.62976,9.06,580,0.81
16.71168,9.03,580,0.81
16.79360,9.04,580,0.82
16.87552,9.04,580,0.82
16.95744,9.04,580,0.82
17.03936,9.04,580,0.82
17.12128,9.03,580,0.82
17.20320,9.03,580,0.81
17.28512,9.03,580,0.82
17.36704,9.03,580,0.82
17.44896,9.04,580,0.82
17.53088,9.04,580,0.82
17.61280,9.05,580,0.82
17.69472,9.03,580,0.82
17.77664,9.03,580,0.82
17.85856,9.03,580,0.82
17.94048,9.02,580,0.82
18.02240,9.04,580,0.82
18.10432,9.03,580,0.82
18.18624,9.05,580,0.82
18.26816,9.05,580,0.82
18.35008,9.04,580,0.82
18.43200,9.06,580,0.81
18.51392,9.05,580,0.81
18.59584,9.05,580,0.81
18.67776,9.06,580,0.81
18.75968,9.04,580,0.82
18.84160,9.07,580,0.82
18.92352,9.12,580,0.82
19.00544,9.08,580,0.82
19.08736,9.08,580,0.82
19.16928,9.07,580,0.82
19.25120,9.05,580,0.82
19.33312,9.04,580,0.82
19.41504,9.06,580,0.82
19.49696,9.06,580,0.82
19.57888,9.11,580,0.82
19.66080,9.06,580,0.81
19.74272,9.03,580,0.82
19.82464,9.03,580,0.82
19.90656,9.03,580,0.82
19.98848,9.04,580,0.81
20.07040,9.06,580,0.81
20.15232,9.05,580,0.81
20.23424,9.06,580,0.81
20.31616,9.03,580,0.81
20.39808,9.03,580,0.81
20.48000,9.02,580,0.81
20.56192,9.02,580,0.81
20.64384,9.04,580,0.81
20.72576,9.05,580,0.81
20.80768,9.06,580,0.81
20.88960,9.06,580,0.81
20.97152,9.07,580,0.81
21.05344,9.08,580,0.81
21.13536,9.07,580,0.81
21.21728,9.07,580,0.81
21.29920,9.05,580,0.81
21.38112,9.05,580,0.82
21.46304,9.06,580,0.82
21.54496,9.07,580,0.82
21.62688,9.10,580,0.83
21.70880,9.11,580,0.83
21.79072,9.12,580,0.82
21.87264,9.10,580,0.82
21.95456,9.07,580,0.82
22.03648,9.07,580,0.82
22.11840,9.05,580,0.81
22.20032,9.04,580,0.81
22.28224,9.01,580,0.81
22.36416,8.99,580,0.82
22.44608,8.99,580,0.82
22.52800,8.98,580,0.82
22.60992,9.00,580,0.81
22.69184,9.00,580,0.81
22.77376,9.00,580,0.81
22.85568,9.02,580,0.81
22.93760,9.01,580,0.81
