		 580  685  791  896 1002 1107 1213 1318 1424 1529 1635 1740 1846 1951 2057 2162 2268 2373 2479 2584 2690 
Average
0.32	0.00 0.00 0.00 0.00 9.80 9.92 9.20 9.15 8.73 8.01 7.99 7.98 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.46	0.00 9.61 9.58 9.46 9.13 8.97 8.90 8.53 8.87 0.00 0.00 0.00 7.98 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.60	9.56 9.37 9.37 9.33 9.27 9.21 9.01 9.04 8.89 8.48 8.48 0.00 0.00 7.79 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.74	9.40 9.30 9.29 9.26 9.24 9.14 9.15 9.14 8.95 8.92 8.74 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.88	9.43 9.31 9.17 9.14 9.23 9.21 9.18 9.05 9.00 8.98 9.02 8.64 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
1.01	9.39 9.31 9.13 9.06 9.20 9.17 9.18 9.11 9.05 9.17 8.95 8.85 0.00 0.00 7.42 0.00 0.00 0.00 0.00 0.00 0.00 
1.15	9.40 9.32 9.21 9.09 9.12 9.22 9.18 9.16 9.06 9.04 9.04 8.51 8.89 9.00 8.96 0.00 0.00 0.00 0.00 0.00 0.00 
1.29	9.30 9.29 9.31 9.07 9.17 9.21 9.26 9.17 9.12 9.07 9.06 8.72 8.55 0.00 8.64 8.54 0.00 8.50 8.51 8.37 8.36 
1.43	9.36 9.16 9.09 9.18 9.19 9.16 9.17 9.24 9.25 9.18 8.98 8.94 8.44 8.61 8.00 0.00 0.00 0.00 0.00 8.28 8.28 
1.57	0.00 0.00 9.22 9.05 9.31 9.47 0.00 9.19 9.23 9.19 9.05 8.97 8.22 8.41 8.29 7.50 7.77 0.00 0.00 8.13 0.00 
1.71	0.00 9.23 0.00 0.00 0.00 9.33 9.07 9.03 9.22 9.15 9.07 9.11 8.58 8.32 8.20 8.14 0.00 0.00 0.00 7.96 0.00 
1.85	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.16 9.10 8.74 8.69 8.34 8.11 8.16 0.00 0.00 0.00 7.89 0.00 
1.99	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.16 9.06 8.61 8.54 8.35 8.11 7.89 0.00 0.00 7.96 0.00 
2.12	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.29 9.06 8.74 8.52 8.51 8.03 0.00 0.00 7.99 8.05 0.00 
2.26	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.85 8.45 8.43 8.33 7.96 0.00 7.99 0.00 0.00 
2.40	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.28 8.18 8.17 8.15 8.08 0.00 0.00 
2.54	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.12 7.98 7.97 0.00 0.00 0.00 

Maximum
0.32	0.00 0.00 0.00 0.00 9.89 10.04 9.43 9.19 9.09 8.01 7.99 7.98 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.46	0.00 9.81 9.87 9.80 9.57 9.24 9.03 8.93 9.09 0.00 0.00 0.00 7.98 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.60	9.70 9.84 9.73 9.69 9.46 9.33 9.26 9.15 9.06 8.48 8.48 0.00 0.00 7.79 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.74	9.72 9.70 9.40 9.65 9.39 9.33 9.35 9.38 9.04 9.00 8.89 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.88	9.70 9.56 9.43 9.67 9.60 9.39 9.36 9.35 9.11 9.06 9.02 8.92 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
1.01	9.68 9.55 9.39 9.34 9.48 9.53 9.34 9.37 9.33 9.31 9.09 8.92 0.00 0.00 7.42 0.00 0.00 0.00 0.00 0.00 0.00 
1.15	9.68 9.58 9.44 9.33 9.41 9.44 9.31 9.33 9.26 9.28 9.22 8.80 8.92 9.02 9.04 0.00 0.00 0.00 0.00 0.00 0.00 
1.29	9.64 9.58 9.58 9.35 9.38 9.41 9.40 9.34 9.39 9.20 9.23 9.02 8.80 0.00 8.83 8.54 0.00 8.50 8.51 8.38 8.36 
1.43	9.65 9.22 9.09 9.18 9.43 9.44 9.32 9.37 9.37 9.35 9.22 9.01 8.82 8.71 8.45 0.00 0.00 0.00 0.00 8.31 8.31 
